#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="treePrior" spec="multitypetreeVolz.distributions.StructuredCoalescentTreeDensityVolz">
#        <migrationModelVolz id="migModel" spec="beast.evolution.tree.MigrationModelVolz">
#            <parameter dimension="6" id="rateMatrix" name="rateMatrix">0.1 0.2 0.01 0.03 0.1 0.1</parameter>
#            <parameter dimension="3" id="popSizes" name="popSizes">1.0 0.5 0.25</parameter>
#        </migrationModelVolz>
#        <multiTypeTreeVolz id="tree" spec="beast.evolution.tree.StructuredCoalescentMultiTypeTreeVolz">
#            <migrationModelVolz spec="beast.evolution.tree.MigrationModelVolz">
#                <parameter dimension="6" name="rateMatrix">0.1 0.2 0.01 0.03 0.1 0.1</parameter>
#                <parameter dimension="3" name="popSizes">1.0 0.5 0.25</parameter>
#            </migrationModelVolz>
#            <trait id="typeTraitSet" spec="beast.evolution.tree.TraitSet" traitname="type" value="inv0_0=0,inv1_0=0,inv2_0=0,inv0_1=1,inv1_1=1,inv0_2=2">
#                <taxa spec="beast.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <trait id="timeTraitSet" spec="beast.evolution.tree.TraitSet" traitname="date-forward" value="inv0_0=0,inv1_0=1,inv2_0=2,inv0_1=1,inv1_1=0,inv0_2=1">
#                <taxa alignment="@alignment1" spec="beast.evolution.alignment.TaxonSet"/>
#            </trait>
#        </multiTypeTreeVolz>
#    </distribution>
#</input>
#
Sample	posterior	TreeHeightLog2
43700	-10.218248105363998	5.5235147298296745
43800	-10.57531220813184	8.169064821846863
43900	-7.385354740556258	5.443405078264011
44000	-7.730158051387894	4.160760897981521
44100	-9.13781847071573	6.007574739801715
44200	-7.384029879882386	3.4009835350960254
44300	-7.187332448117674	4.785663437909516
44400	-6.302719600535945	6.214058121782618
44500	-7.065361619618013	7.2278493217089155
44600	-7.176147148209382	4.371789729605953
44700	-5.612140170858416	4.9395802420996375
44800	-5.715731458804228	7.822289372562662
44900	-4.723919005011419	3.05646580826995
45000	-7.16520931051196	5.765446467458245
45100	-7.738832914343051	3.015733505522027
45200	-6.8140681561545495	4.717087259333653
45300	-8.617050872511681	6.192438560794775
45400	-5.484627329475461	4.492060539095455
45500	-7.723513025493226	5.322046433553722
45600	-8.367413075953834	4.939383297351213
45700	-10.861527150397595	6.1107403546226715
45800	-5.97818726565521	4.202961800722354
45900	-10.282904486839074	3.9274057061317245
46000	-5.085790907790072	4.398278886064973
46100	-8.570205258305268	4.5944709329978695
46200	-11.64044329316874	6.804531205218209
46300	-8.310980920660885	6.27013719144178
46400	-5.079016117943036	2.8479377955853313
46500	-9.85991478004551	9.246974591235656
46600	-11.460677421456944	6.633434365512775
46700	-8.112000559240727	6.266778445007033
46800	-11.024346621035988	4.636571137905126
46900	-6.858732374067211	3.8442726759177748
47000	-6.914350406356704	3.049223433221861
47100	-5.010357325548546	5.224655851331194
47200	-6.2137270191308405	9.734050872015938
47300	-4.619104184625575	2.7628373039915357
47400	-4.088791519376091	3.979166487555918
47500	-7.558285048253491	5.013216842874556
47600	-6.271149285621836	6.047915705954739
47700	-6.238609893262232	6.25237542720448
47800	-4.758196199968741	6.810181035365364
47900	-3.88020169621474	4.98323812234891
48000	-5.31260131493954	5.7436990595594954
48100	-5.822782458135381	8.057691045271316
48200	-5.811249237455507	4.963956824822283
48300	-4.283329529499133	5.152933437337703
48400	-7.162402125183135	6.221095275874518
48500	-7.330204028849355	7.231662277153902
48600	-4.672139925695407	3.5127956839268966
48700	-13.537833976995481	5.745330116578434
48800	-13.663159221737024	3.952423948352129
48900	-13.060096502929161	7.505648244131999
49000	-6.732017022892406	4.4973307892012455
49100	-9.183839779109483	3.9520510381503864
49200	-3.693450254129754	4.187287352992415
49300	-3.586714424544473	4.352383158472336
49400	-6.747134534432771	7.642982700301948
49500	-5.5195861666517425	4.732371164705399
49600	-7.371181545464253	4.036374567742954
49700	-8.605661416985708	7.594296111547644
49800	-4.732546470874305	3.6139405545570664
49900	-8.160332913868853	6.619854524232062
50000	-9.256876162856836	4.658860483586285
50100	-8.756725888510267	4.878616344036162
50200	-10.183095056179896	9.025876114259034
50300	-9.593934060624456	5.264556073668515
50400	-11.453253639149136	6.244705419046433
50500	-8.785876260044162	8.452771817937009
50600	-7.087587007270201	6.8659487631396905
50700	-10.444619947017003	9.37114476336257
50800	-8.20432171179143	5.853664372129615
50900	-5.983067748833603	2.6988281829773695
51000	-8.334909895281992	4.013397827229713
51100	-5.854551515488981	4.4894361943860694
51200	-12.027954325063918	7.1687992589828715
51300	-5.56525171504659	4.100672178371737
51400	-6.328878864021471	5.347990695412351
51500	-4.882700806959553	3.2174790631863575
51600	-11.106244657233887	4.393158545900102
51700	-16.715830672762223	6.188379504116059
51800	-16.019363825985874	8.101926729242656
51900	-9.866596299272118	10.199244577131237
52000	-5.602895301091426	6.122188162859529
52100	-5.0130542893928265	2.9392438150396196
52200	-4.9867024629385215	4.707425639168141
52300	-5.872434584239466	4.125492708751632
52400	-8.155153619858632	4.489369468379109
52500	-6.4827036108051095	5.160564701883916
52600	-11.92833125458636	7.048352587388554
52700	-8.594390236526126	9.136698571986473
52800	-5.184160765163166	6.559974017263337
52900	-6.886460018253118	4.345616902017963
53000	-6.260429327733636	5.973915009958628
53100	-8.955552286105352	8.543356050563016
53200	-5.38209502711114	5.120079766980168
53300	-5.12416989392666	4.705797122568893
53400	-6.135912071336067	4.448003714143704
53500	-6.626662707084614	4.266218588358078
53600	-9.61983201981413	4.821337255736736
53700	-5.455668994572386	6.123622605863937
53800	-7.525884850181074	4.357360253909534
53900	-5.943503250808958	4.568049918246182
54000	-5.919825018017267	4.081753663674579
54100	-7.722113666086317	6.28467474532833
54200	-6.2287781478535145	4.924368538280077
