#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.Masco">
#            <parameter id="stepSize" name="timeStep">0.01</parameter>
#            <parameter dimension="2" id="coalRates" name="coalescentRates">2.0 4.0</parameter>
#            <parameter dimension="2" id="migRates" name="migrationRates" upper="140.0">0.001 0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">2</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="NewickTree.t:Species"/>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRates1	migRates2	coalRates1	coalRates2	posterior
27	0.0017410242061739278	0.01	2.0	4.0	-106.9849654871175
28	0.0017758446902974064	0.01	2.0	4.0	-106.97075231058213
29	0.0018113615841033545	0.01	2.0	4.0	-106.95645615920421
30	0.0018475888157854217	0.01	2.0	4.0	-106.9420551916598
31	0.0018845405921011301	0.01	2.0	4.0	-106.9275295029923
32	0.0019222314039431527	0.01	2.0	4.0	-106.91286102973714
33	0.001960676032022016	0.01	2.0	4.0	-106.89803343338647
34	0.001999889552662456	0.01	2.0	4.0	-106.88303197243864
35	0.0020398873437157054	0.01	2.0	4.0	-106.86784337085712
36	0.0020806850905900195	0.01	2.0	4.0	-106.85245568862562
37	0.00212229879240182	0.01	2.0	4.0	-106.83685819829427
38	0.0021647447682498562	0.01	2.0	4.0	-106.82104126997424
39	0.0022080396636148534	0.01	2.0	4.0	-106.80499626613202
40	0.0022522004568871503	0.01	2.0	4.0	-106.78871544671554
41	0.0022972444660248935	0.01	2.0	4.0	-106.77219188456488
42	0.0023431893553453914	0.01	2.0	4.0	-106.75541939067011
43	0.002390053142452299	0.01	2.0	4.0	-106.73839244859744
44	0.002437854205301345	0.01	2.0	4.0	-106.7211061572699
45	0.002486611289407372	0.01	2.0	4.0	-106.7035561812338
46	0.0025363435151955194	0.01	2.0	4.0	-106.68573870754206
47	0.00258707038549943	0.01	2.0	4.0	-106.66765040841855
48	0.0026388117932094187	0.01	2.0	4.0	-106.64928840892526
49	0.002691588029073607	0.01	2.0	4.0	-106.63065025892121
50	0.0027454197896550794	0.01	2.0	4.0	-106.6117339086763
51	0.002800328185448181	0.01	2.0	4.0	-106.59253768757574
52	0.0028563347491571446	0.01	2.0	4.0	-106.57306028542102
53	0.0029134614441402875	0.01	2.0	4.0	-106.55330073590004
54	0.002971730673023093	0.01	2.0	4.0	-106.533258401858
55	0.003031165286483555	0.01	2.0	4.0	-106.51293296205536
56	0.003091788592213226	0.01	2.0	4.0	-106.4923243991471
57	0.0031536243640574906	0.01	2.0	4.0	-106.47143298865943
58	0.0032166968513386404	0.01	2.0	4.0	-106.45025928877776
59	0.003281030788365413	0.01	2.0	4.0	-106.42880413079075
60	0.0033466514041327216	0.01	2.0	4.0	-106.40706861006404
61	0.0034135844322153762	0.01	2.0	4.0	-106.38505407743972
62	0.003481856120859684	0.01	2.0	4.0	-106.36276213097909
63	0.0035514932432768776	0.01	2.0	4.0	-106.34019460798272
64	0.003622523108142415	0.01	2.0	4.0	-106.3173535772362
65	0.0036949735703052634	0.01	2.0	4.0	-106.29424133144333
66	0.0037688730417113686	0.01	2.0	4.0	-106.27086037981722
67	0.003844250502545596	0.01	2.0	4.0	-106.24721344081004
68	0.003921135512596508	0.01	2.0	4.0	-106.2233034349676
69	0.003999558222848438	0.01	2.0	4.0	-106.19913347790192
70	0.0040795493873054065	0.01	2.0	4.0	-106.17470687337882
71	0.004161140375051515	0.01	2.0	4.0	-106.15002710652185
72	0.004244363182552545	0.01	2.0	4.0	-106.12509783713634
73	0.004329250446203596	0.01	2.0	4.0	-106.0999228931597
74	0.004415835455127668	0.01	2.0	4.0	-106.07450626424566
75	0.004504152164230221	0.01	2.0	4.0	-106.04885209549134
76	0.004594235207514826	0.01	2.0	4.0	-106.02296468131641
77	0.004686119911665123	0.01	2.0	4.0	-105.99684845950424
78	0.004779842309898425	0.01	2.0	4.0	-105.97050800541435
