#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.ExactStructuredCoalescent">
#            <parameter id="stepSize" name="timeStep">0.01</parameter>
#            <parameter dimension="2" id="coalRates" name="coalescentRates">2.0 4.0</parameter>
#            <parameter dimension="2" id="migRates" name="migrationRates" upper="140.0">0.001 0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">2</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="NewickTree.t:Species"/>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRates1	migRates2	coalRates1	coalRates2	posterior
155	0.02195971982650435	0.01	2.0	4.0	-102.162329945618
156	0.022398914223034437	0.01	2.0	4.0	-102.15430718916069
157	0.022846892507495126	0.01	2.0	4.0	-102.14670813942894
158	0.02330383035764503	0.01	2.0	4.0	-102.13954360300237
159	0.02376990696479793	0.01	2.0	4.0	-102.13282459945047
160	0.024245305104093888	0.01	2.0	4.0	-102.12656236502156
161	0.024730211206175766	0.01	2.0	4.0	-102.12076835641207
162	0.02522481543029928	0.01	2.0	4.0	-102.11545425461891
163	0.025729311738905265	0.01	2.0	4.0	-102.11063196887619
164	0.02624389797368337	0.01	2.0	4.0	-102.10631364067842
165	0.026768775933157036	0.01	2.0	4.0	-102.1025116478931
166	0.027304151451820177	0.01	2.0	4.0	-102.09923860896349
167	0.027850234480856582	0.01	2.0	4.0	-102.09650738720472
168	0.028407239170473712	0.01	2.0	4.0	-102.09433109519492
169	0.028975383953883188	0.01	2.0	4.0	-102.09272309926335
170	0.029554891632960854	0.01	2.0	4.0	-102.09169702407827
171	0.030145989465620072	0.01	2.0	4.0	-102.09126675733599
172	0.030748909254932472	0.01	2.0	4.0	-102.09144645455405
173	0.03136388744003112	0.01	2.0	4.0	-102.09225054397035
174	0.031991165188831744	0.01	2.0	4.0	-102.09369373155039
175	0.03263098849260838	0.01	2.0	4.0	-102.09579100610527
176	0.033283608262460546	0.01	2.0	4.0	-102.09855764452253
177	0.033949280427709755	0.01	2.0	4.0	-102.1020092171123
178	0.03462826603626395	0.01	2.0	4.0	-102.10616159307087
179	0.03532083135698923	0.01	2.0	4.0	-102.11103094606436
180	0.03602724798412901	0.01	2.0	4.0	-102.11663375993496
181	0.03674779294381159	0.01	2.0	4.0	-102.12298683453173
182	0.03748274880268782	0.01	2.0	4.0	-102.13010729166912
183	0.038232403778741576	0.01	2.0	4.0	-102.1380125812152
184	0.03899705185431641	0.01	2.0	4.0	-102.1467204873124
185	0.039776992891402733	0.01	2.0	4.0	-102.15624913473337
186	0.04057253274923079	0.01	2.0	4.0	-102.16661699537467
187	0.0413839834042154	0.01	2.0	4.0	-102.17784289489066
188	0.04221166307229971	0.01	2.0	4.0	-102.1899460194707
189	0.04305589633374571	0.01	2.0	4.0	-102.20294592276225
190	0.04391701426042062	0.01	2.0	4.0	-102.21686253294286
191	0.04479535454562903	0.01	2.0	4.0	-102.23171615994356
192	0.045691261636541615	0.01	2.0	4.0	-102.24752750282717
193	0.04660508686927245	0.01	2.0	4.0	-102.26431765732386
194	0.0475371886066579	0.01	2.0	4.0	-102.28210812352772
195	0.04848793237879106	0.01	2.0	4.0	-102.30092081375682
196	0.04945769102636688	0.01	2.0	4.0	-102.32077806058032
197	0.05044684484689422	0.01	2.0	4.0	-102.34170262501594
198	0.051455781743832106	0.01	2.0	4.0	-102.36371770490074
199	0.05248489737870875	0.01	2.0	4.0	-102.38684694343908
200	0.05353459532628292	0.01	2.0	4.0	-102.41111443793082
201	0.05460528723280858	0.01	2.0	4.0	-102.43654474868377
202	0.05569739297746475	0.01	2.0	4.0	-102.46316290811374
203	0.05681134083701405	0.01	2.0	4.0	-102.49099443003587
204	0.057947567653754334	0.01	2.0	4.0	-102.5200653191516
205	0.05910651900682942	0.01	2.0	4.0	-102.5504020807345
206	0.060288649386966014	0.01	2.0	4.0	-102.58203173051986
207	0.061494422374705336	0.01	2.0	4.0	-102.61498180480132
208	0.06272431082219944	0.01	2.0	4.0	-102.64928037073966
209	0.06397879703864343	0.01	2.0	4.0	-102.6849560368876
