#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.ApproximateStructuredCoalescent">
#            <parameter dimension="2" id="coalRates" name="coalescentRates">2.0 4.0</parameter>
#            <parameter dimension="2" id="migRates" name="migrationRates" upper="140.0">0.001 0.01</parameter>
#            <parameter id="stepSize" name="timeStep">0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">2</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="NewickTree.t:Species"/>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRates1	migRates2	coalRates1	coalRates2	posterior
95	0.006692933179528169	0.01	2.0	4.0	-139.80476146579082
96	0.006826791843118732	0.01	2.0	4.0	-139.94262042391475
97	0.006963327679981107	0.01	2.0	4.0	-140.08740254265902
98	0.00710259423358073	0.01	2.0	4.0	-140.23924028522742
99	0.007244646118252344	0.01	2.0	4.0	-140.39827012351375
100	0.007389539040617391	0.01	2.0	4.0	-140.56463262493557
101	0.007537329821429739	0.01	2.0	4.0	-140.7384725387922
102	0.007688076417858334	0.01	2.0	4.0	-140.91993888192584
103	0.0078418379462155	0.01	2.0	4.0	-141.10918502342793
104	0.007998674705139812	0.01	2.0	4.0	-141.30636876812704
105	0.008158648199242608	0.01	2.0	4.0	-141.5116524385211
106	0.00832182116322746	0.01	2.0	4.0	-141.72520295484736
107	0.008488257586492009	0.01	2.0	4.0	-141.9471919128724
108	0.00865802273822185	0.01	2.0	4.0	-142.1777956590196
109	0.008831183192986286	0.01	2.0	4.0	-142.41719536236695
110	0.009007806856846013	0.01	2.0	4.0	-142.66557708299186
111	0.009187962993982933	0.01	2.0	4.0	-142.9231318361645
112	0.009371722253862591	0.01	2.0	4.0	-143.19005565173893
113	0.009559156698939843	0.01	2.0	4.0	-143.46654962812332
114	0.00975033983291864	0.01	2.0	4.0	-143.7528199801212
115	0.009945346629577013	0.01	2.0	4.0	-144.04907807987203
116	0.010144253562168554	0.01	2.0	4.0	-144.3555404900151
117	0.010347138633411924	0.01	2.0	4.0	-144.67242898827465
