migrationrate	MTT	esco	Lisco	Sisco
0.030749	0.229000	0.243000	0.245000	0.068000
0.031364	0.239500	0.239000	0.242000	0.065000
0.031991	0.266500	0.235000	0.238000	0.062000
0.032631	0.238500	0.232000	0.235000	0.060000
0.033284	0.225500	0.228000	0.231000	0.057000
0.033949	0.226500	0.224000	0.228000	0.055000
0.034628	0.223500	0.221000	0.224000	0.052000
0.035321	0.195500	0.217000	0.221000	0.050000
0.036027	0.189000	0.214000	0.217000	0.048000
0.036748	0.210500	0.211000	0.214000	0.046000
0.037483	0.208000	0.207000	0.211000	0.044000
0.038232	0.203500	0.204000	0.207000	0.042000
0.038997	0.213500	0.201000	0.204000	0.040000
0.039777	0.218000	0.197000	0.201000	0.038000
0.040573	0.198500	0.194000	0.198000	0.036000
0.041384	0.189500	0.191000	0.195000	0.034000
0.042212	0.181000	0.188000	0.192000	0.033000
0.043056	0.203000	0.185000	0.188000	0.031000
0.043917	0.178500	0.182000	0.185000	0.030000
0.044795	0.183000	0.179000	0.182000	0.028000
0.045691	0.181000	0.176000	0.180000	0.027000
0.046605	0.178000	0.173000	0.177000	0.026000
0.047537	0.190500	0.170000	0.174000	0.025000
0.048488	0.161000	0.167000	0.171000	0.023000
0.049458	0.146000	0.164000	0.168000	0.022000
0.050447	0.147000	0.161000	0.165000	0.021000
0.051456	0.168000	0.159000	0.163000	0.020000
0.052485	0.160500	0.156000	0.160000	0.019000
0.053535	0.156000	0.153000	0.157000	0.018000
0.054605	0.151000	0.150000	0.155000	0.018000
0.055697	0.146000	0.148000	0.152000	0.017000
0.056811	0.156000	0.145000	0.150000	0.016000
0.057948	0.155000	0.143000	0.147000	0.015000
0.059107	0.134500	0.140000	0.145000	0.014000
0.060289	0.149500	0.138000	0.142000	0.014000
0.061494	0.131000	0.135000	0.140000	0.013000
0.062724	0.123000	0.133000	0.138000	0.013000
0.063979	0.121000	0.131000	0.135000	0.012000
0.065258	0.133000	0.128000	0.133000	0.011000
0.066564	0.135000	0.126000	0.131000	0.011000
0.067895	0.142000	0.124000	0.128000	0.010000
0.069253	0.109000	0.121000	0.126000	0.010000
0.070638	0.119000	0.119000	0.124000	0.010000
0.072051	0.114000	0.117000	0.122000	0.009000
0.073492	0.103000	0.115000	0.120000	0.009000
0.074961	0.104000	0.113000	0.118000	0.008000
0.076461	0.104000	0.111000	0.116000	0.008000
0.077990	0.096000	0.109000	0.114000	0.008000
0.079550	0.109500	0.107000	0.112000	0.007000
0.081141	0.111500	0.105000	0.110000	0.007000
0.082763	0.099000	0.103000	0.108000	0.007000
0.084419	0.089500	0.101000	0.106000	0.006000
0.086107	0.107500	0.099000	0.104000	0.006000
0.087829	0.098500	0.097000	0.102000	0.006000
0.089586	0.080500	0.095000	0.100000	0.006000
0.091377	0.090000	0.093000	0.099000	0.006000
0.093205	0.075000	0.092000	0.097000	0.005000
0.095069	0.074000	0.090000	0.095000	0.005000
0.096971	0.106000	0.088000	0.093000	0.005000
0.098910	0.110500	0.086000	0.092000	0.005000
0.100888	0.098000	0.085000	0.090000	0.005000
